cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      solids-vof,solids-x-velocity,solids-y-velocity,  air-x-velocity,  air-y-velocity,           dp-dx,           dp-dy,          udm-x,           udm-y
1,0.565,0.005,0.005,0.0020160104,-1.239271196,5.406240515,9.361699574,8.993898306,-1114.711851,196.3524871,558.1488062,188.8927869
2,0.575,0.005,0.005,0.0009674578,-1.146975997,5.12971728,7.971295732,9.786047933,-902.362596,94.5961345,218.1186753,111.3843395
3,0.555,0.005,0.005,0.0067027623,-1.466806338,5.945851336,10.20166308,7.990623291,-3402.22969,855.0800924,2133.314273,373.8400508
4,0.565,0.015,0.005,0.0020804324,-1.032791399,5.879769098,11.73388761,9.931312599,-1730.261112,-1180.965781,772.3890495,245.1199588
5,0.545,0.005,0.005,0.013197289,-1.590718809,6.486580717,10.35740361,7.336295777,-6066.207816,1805.949427,4388.251996,312.0794778
6,0.555,0.015,0.005,0.0067708998,-1.267644572,6.345481447,11.8081688,7.783799392,-3251.385853,-96.29747173,2571.550757,282.8663498
7,0.535,0.005,0.005,0.0150451165,-1.669705175,6.908122122,9.566486494,7.131256093,-7301.330557,3759.169469,4547.184057,90.3002783
8,0.545,0.015,0.005,0.0146234787,-1.360243479,6.59753028,11.41586011,6.3460441,-7211.289818,1987.343693,5420.411924,-106.6959639
9,0.525,0.005,0.005,0.0132865063,-1.740494018,7.072771143,7.554005825,7.345827254,-6192.242879,4994.188996,2961.20017,86.99486984
10,0.535,0.015,0.005,0.0210151765,-1.355095409,6.792248469,9.836353271,5.183425981,-9991.931585,3378.310167,6428.861102,-924.1785054
11,0.515,0.005,0.005,0.0074541233,-1.896520416,6.919298425,4.604778084,7.646416091,-3111.090419,5384.108011,939.3767182,105.06169
12,0.525,0.015,0.005,0.0215112044,-1.443746062,6.752663728,6.613072377,4.472215506,-7188.384511,4457.585166,3980.103119,-1126.551274
13,0.505,0.005,0.005,0.0029113214,-2.43940541,5.869407021,1.417491493,7.591105479,251.8262235,4823.73406,170.0790629,75.92239763
14,0.515,0.015,0.005,0.0163668198,-1.800590395,6.321655292,2.421541951,4.171789822,-1992.48036,4556.179477,1144.745696,-582.8924915
15,0.495,0.005,0.005,0.0012262023,-2.989011087,3.819196223,-1.463411056,5.672070242,1243.825878,3583.803502,21.29842539,25.86739528
