#"U:0" "U:1" "U:2" "voidfraction" "vtkValidPointMask" "arc_length" "Points:0" "Points:1" "Points:2"
0 0 0 0 1 0 0 0 0
0 0 0 0 1 0.1 0 0.1 0
0 0 0 0 1 0.2 0 0.2 0
0.029989 0 0 0.1 1 0.3 0 0.3 0
0.089968 0 0 0.3 1 0.4 0 0.4 0
0.14995 0 0 0.5 1 0.5 0 0.5 0
0.25601 0 0 0.7 1 0.6 0 0.6 0
0.36208 0 0 0.9 1 0.7 0 0.7 0
0.44976 0 0 1 1 0.8 0 0.8 0
0.51905 0 0 1 1 0.9 0 0.9 0
0.58834 0 0 1 1 1 0 1 0
0.62544 0 0 1 1 1.1 0 1.1 0
0.66255 0 0 1 1 1.2 0 1.2 0
0.69269 0 0 1 1 1.3 0 1.3 0
0.71586 0 0 1 1 1.4 0 1.4 0
0.73904 0 0 1 1 1.5 0 1.5 0
0.75494 0 0 1 1 1.6 0 1.6 0
0.77085 0 0 1 1 1.7 0 1.7 0
0.78461 0 0 1 1 1.8 0 1.8 0
0.79624 0 0 1 1 1.9 0 1.9 0
0.80787 0 0 1 1 2 0 2 0
0.81675 0 0 1 1 2.1 0 2.1 0
0.82564 0 0 1 1 2.2 0 2.2 0
0.83359 0 0 1 1 2.3 0 2.3 0
0.84061 0 0 1 1 2.4 0 2.4 0
0.84763 0 0 1 1 2.5 0 2.5 0
0.85332 0 0 1 1 2.6 0 2.6 0
0.85901 0 0 1 1 2.7 0 2.7 0
0.86421 0 0 1 1 2.8 0 2.8 0
0.86892 0 0 1 1 2.9 0 2.9 0
0.87363 0 0 1 1 3 0 3 0
0.87759 0 0 1 1 3.1 0 3.1 0
0.88155 0 0 1 1 3.2 0 3.2 0
0.88523 0 0 1 1 3.3 0 3.3 0
0.88861 0 0 1 1 3.4 0 3.4 0
0.89199 0 0 1 1 3.5 0 3.5 0
0.89491 0 0 1 1 3.6 0 3.6 0
0.89784 0 0 1 1 3.7 0 3.7 0
0.90057 0 0 1 1 3.8 0 3.8 0
0.90312 0 0 1 1 3.9 0 3.9 0
0.90567 0 0 1 1 4 0 4 0
0.90791 0 0 1 1 4.1 0 4.1 0
0.91016 0 0 1 1 4.2 0 4.2 0
0.91228 0 0 1 1 4.3 0 4.3 0
0.91427 0 0 1 1 4.4 0 4.4 0
0.91626 0 0 1 1 4.5 0 4.5 0
0.91804 0 0 1 1 4.6 0 4.6 0
0.91982 0 0 1 1 4.7 0 4.7 0
0.92151 0 0 1 1 4.8 0 4.8 0
0.9231 0 0 1 1 4.9 0 4.9 0
0.9247 0 0 1 1 5 0 5 0
0.92615 0 0 1 1 5.1 0 5.1 0
0.92759 0 0 1 1 5.2 0 5.2 0
0.92897 0 0 1 1 5.3 0 5.3 0
0.93028 0 0 1 1 5.4 0 5.4 0
0.93159 0 0 1 1 5.5 0 5.5 0
0.93279 0 0 1 1 5.6 0 5.6 0
0.93399 0 0 1 1 5.7 0 5.7 0
0.93514 0 0 1 1 5.8 0 5.8 0
0.93623 0 0 1 1 5.9 0 5.9 0
0.93733 0 0 1 1 6 0 6 0
0.93834 0 0 1 1 6.1 0 6.1 0
0.93934 0 0 1 1 6.2 0 6.2 0
0.94031 0 0 1 1 6.3 0 6.3 0
0.94124 0 0 1 1 6.4 0 6.4 0
0.94217 0 0 1 1 6.5 0 6.5 0
0.94303 0 0 1 1 6.6 0 6.6 0
0.94389 0 0 1 1 6.7 0 6.7 0
0.94472 0 0 1 1 6.8 0 6.8 0
0.94552 0 0 1 1 6.9 0 6.9 0
0.94632 0 0 1 1 7 0 7 0
0.94706 0 0 1 1 7.1 0 7.1 0
0.94781 0 0 1 1 7.2 0 7.2 0
0.94853 0 0 1 1 7.3 0 7.3 0
0.94922 0 0 1 1 7.4 0 7.4 0
0.94991 0 0 1 1 7.5 0 7.5 0
0.95056 0 0 1 1 7.6 0 7.6 0
0.95121 0 0 1 1 7.7 0 7.7 0
0.95184 0 0 1 1 7.8 0 7.8 0
0.95244 0 0 1 1 7.9 0 7.9 0
0.95305 0 0 1 1 8 0 8 0
0.95362 0 0 1 1 8.1 0 8.1 0
0.95419 0 0 1 1 8.2 0 8.2 0
0.95475 0 0 1 1 8.3 0 8.3 0
0.95528 0 0 1 1 8.4 0 8.4 0
0.95582 0 0 1 1 8.5 0 8.5 0
0.95633 0 0 1 1 8.6 0 8.6 0
0.95683 0 0 1 1 8.7 0 8.7 0
0.95733 0 0 1 1 8.8 0 8.8 0
0.9578 0 0 1 1 8.9 0 8.9 0
0.95828 0 0 1 1 9 0 9 0
0.95873 0 0 1 1 9.1 0 9.1 0
0.95919 0 0 1 1 9.2 0 9.2 0
0.95963 0 0 1 1 9.3 0 9.3 0
0.96005 0 0 1 1 9.4 0 9.4 0
0.96048 0 0 1 1 9.5 0 9.5 0
0.96089 0 0 1 1 9.6 0 9.6 0
0.9613 0 0 1 1 9.7 0 9.7 0
0.9692 0 0 1 1 9.8 0 9.8 0
0.9846 0 0 1 1 9.9 0 9.9 0
1 0 0 1 1 10 0 10 0
