#"U:0","U:1","U:2","voidfraction","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,1,0,0,0,0
0,0,0,0,1,0.1,0,0.1,0
0,0,0,0,1,0.2,0,0.2,0
0,0,0,0,1,0.3,0,0.3,0
0.043595,0,0,0.2,1,0.4,0,0.4,0
0.10899,0,0,0.5,1,0.5,0,0.5,0
0.23837,0,0,0.8,1,0.6,0,0.6,0
0.35806,0,0,1,1,0.7,0,0.7,0
0.45837,0,0,1,1,0.8,0,0.8,0
0.53158,0,0,1,1,0.9,0,0.9,0
0.59123,0,0,1,1,1,0,1,0
0.63086,0,0,1,1,1.1,0,1.1,0
0.66672,0,0,1,1,1.2,0,1.2,0
0.69504,0,0,1,1,1.3,0,1.3,0
0.71868,0,0,1,1,1.4,0,1.4,0
0.73997,0,0,1,1,1.5,0,1.5,0
0.7566,0,0,1,1,1.6,0,1.6,0
0.77214,0,0,1,1,1.7,0,1.7,0
0.78551,0,0,1,1,1.8,0,1.8,0
0.79729,0,0,1,1,1.9,0,1.9,0
0.80827,0,0,1,1,2,0,2,0
0.81747,0,0,1,1,2.1,0,2.1,0
0.8262,0,0,1,1,2.2,0,2.2,0
0.83402,0,0,1,1,2.3,0,2.3,0
0.84111,0,0,1,1,2.4,0,2.4,0
0.84783,0,0,1,1,2.5,0,2.5,0
0.85369,0,0,1,1,2.6,0,2.6,0
0.8593,0,0,1,1,2.7,0,2.7,0
0.86444,0,0,1,1,2.8,0,2.8,0
0.86919,0,0,1,1,2.9,0,2.9,0
0.87375,0,0,1,1,3,0,3,0
0.87781,0,0,1,1,3.1,0,3.1,0
0.88173,0,0,1,1,3.2,0,3.2,0
0.88537,0,0,1,1,3.3,0,3.3,0
0.88878,0,0,1,1,3.4,0,3.4,0
0.89207,0,0,1,1,3.5,0,3.5,0
0.89505,0,0,1,1,3.6,0,3.6,0
0.89795,0,0,1,1,3.7,0,3.7,0
0.90067,0,0,1,1,3.8,0,3.8,0
0.90323,0,0,1,1,3.9,0,3.9,0
0.90572,0,0,1,1,4,0,4,0
0.90801,0,0,1,1,4.1,0,4.1,0
0.91023,0,0,1,1,4.2,0,4.2,0
0.91234,0,0,1,1,4.3,0,4.3,0
0.91435,0,0,1,1,4.4,0,4.4,0
0.91629,0,0,1,1,4.5,0,4.5,0
0.9181,0,0,1,1,4.6,0,4.6,0
0.91987,0,0,1,1,4.7,0,4.7,0
0.92155,0,0,1,1,4.8,0,4.8,0
0.92316,0,0,1,1,4.9,0,4.9,0
0.92473,0,0,1,1,5,0,5,0
0.9262,0,0,1,1,5.1,0,5.1,0
0.92763,0,0,1,1,5.2,0,5.2,0
0.92901,0,0,1,1,5.3,0,5.3,0
0.93032,0,0,1,1,5.4,0,5.4,0
0.93161,0,0,1,1,5.5,0,5.5,0
0.93283,0,0,1,1,5.6,0,5.6,0
0.93402,0,0,1,1,5.7,0,5.7,0
0.93516,0,0,1,1,5.8,0,5.8,0
0.93626,0,0,1,1,5.9,0,5.9,0
0.93734,0,0,1,1,6,0,6,0
0.93836,0,0,1,1,6.1,0,6.1,0
0.93937,0,0,1,1,6.2,0,6.2,0
0.94033,0,0,1,1,6.3,0,6.3,0
0.94127,0,0,1,1,6.4,0,6.4,0
0.94218,0,0,1,1,6.5,0,6.5,0
0.94306,0,0,1,1,6.6,0,6.6,0
0.94391,0,0,1,1,6.7,0,6.7,0
0.94474,0,0,1,1,6.8,0,6.8,0
0.94554,0,0,1,1,6.9,0,6.9,0
0.94633,0,0,1,1,7,0,7,0
0.94708,0,0,1,1,7.1,0,7.1,0
0.94782,0,0,1,1,7.2,0,7.2,0
0.94854,0,0,1,1,7.3,0,7.3,0
0.94923,0,0,1,1,7.4,0,7.4,0
0.94992,0,0,1,1,7.5,0,7.5,0
0.95058,0,0,1,1,7.6,0,7.6,0
0.95122,0,0,1,1,7.7,0,7.7,0
0.95185,0,0,1,1,7.8,0,7.8,0
0.95246,0,0,1,1,7.9,0,7.9,0
0.95306,0,0,1,1,8,0,8,0
0.95364,0,0,1,1,8.1,0,8.1,0
0.9542,0,0,1,1,8.2,0,8.2,0
0.95476,0,0,1,1,8.3,0,8.3,0
0.9553,0,0,1,1,8.4,0,8.4,0
0.95583,0,0,1,1,8.5,0,8.5,0
0.95634,0,0,1,1,8.6,0,8.6,0
0.95684,0,0,1,1,8.7,0,8.7,0
0.95733,0,0,1,1,8.8,0,8.8,0
0.95781,0,0,1,1,8.9,0,8.9,0
0.95829,0,0,1,1,9,0,9,0
0.95874,0,0,1,1,9.1,0,9.1,0
0.95919,0,0,1,1,9.2,0,9.2,0
0.95963,0,0,1,1,9.3,0,9.3,0
0.96006,0,0,1,1,9.4,0,9.4,0
0.96049,0,0,1,1,9.5,0,9.5,0
0.9609,0,0,1,1,9.6,0,9.6,0
0.9613,0,0,1,1,9.7,0,9.7,0
0.9617,0,0,1,1,9.8,0,9.8,0
0.9771,0,0,1,1,9.9,0,9.9,0
1,0,0,1,1,10,0,10,0
